ConfigID,ConfigName,VariedComponent,Multiplier,EnvironmentID,EnvironmentSeed,Algorithm,AlgorithmSeed,J,Energy_Wh,FlightTime_s,ClimbCost,DynamicRisk,PenaltyTotal,Feasible,PlanningTime_s,EvaluationTime_s,PathReusedAcrossWeights,RunStatus
1,Base,None,1,1,483,RA-ALA,547,17.3524910323008,11.3245629876655,119.724809649217,0.828952120413791,0.337231705673082,0,1,283.8029921,1.2459351,0,ok
1,Base,None,1,1,483,Energy-A*,558,21.2527116435581,14.0268246878676,100.851736712908,0.445377793962028,0.54947002284923,0,1,1.9022361,0.0623558,1,ok
1,Base,None,1,1,483,Informed-RRT*,569,298.003814920212,13.7728347140951,106.889570492101,2.17720771886109,0.186454374309645,2.77121274604531,0,15.075465,0.0753473,1,ok
1,Base,None,1,1,483,ST-EA*,580,NaN,NaN,NaN,NaN,NaN,NaN,0,15.0133122,NaN,0,failed: WeightSensitivity:EmptySTPath
1,Base,None,1,1,483,Greedy,591,3415.38837842326,45.6144575936359,176.42408284087,7.93932212139834,0.554166886235424,33.4688340703414,0,0.1238384,0.0892563,1,ok
1,Base,None,1,2,638,RA-ALA,702,14.8647591132087,10.6185146313807,111.659938576018,0.939669618815655,0.00509844174793028,0.0138542133858391,0,213.3182778,0.5910812,0,ok
1,Base,None,1,2,638,Energy-A*,713,163.347328614456,10.2158841628231,106.620041617642,0.440618933173671,0,1.51361706238471,0,8.9936614,0.0625631,1,ok
1,Base,None,1,2,638,Informed-RRT*,724,247.464467918013,9.35981002657458,109.131802903723,0,0.0299809227431196,2.36895416973143,0,0.0037995,0.0537182,1,ok
1,Base,None,1,2,638,ST-EA*,735,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0345018,NaN,0,failed: WeightSensitivity:EmptySTPath
1,Base,None,1,2,638,Greedy,746,2084.78885099314,28.5255429127644,185.74587336343,3.96448525192097,0.14877727678187,20.4529868253069,0,0.1233476,0.0695678,1,ok
1,Base,None,1,3,855,RA-ALA,919,20.4331635817367,14.8674959365084,150.016207583098,2.13136320906777,0.00528061639002438,0,1,273.1207633,0.8042146,0,ok
1,Base,None,1,3,855,Energy-A*,930,116.574390981121,8.79033418480172,83.0001275630498,0.444044203750937,0.169302246363636,1.04511278195489,0,4.6073735,0.0589007,1,ok
1,Base,None,1,3,855,Informed-RRT*,941,12.6048181863127,9.95596749157025,99.1077878098506,0.879997106446698,0.00629582501003475,0,1,15.0700175,0.0645921,1,ok
1,Base,None,1,3,855,ST-EA*,952,10.0800733444076,8.38453784396089,81.5453060984331,0.444044203750937,0.0127902875457885,0,1,3.2271947,NaN,0,ok
1,Base,None,1,3,855,Greedy,963,3257.16287616287,60.2310654185118,221.607729915636,6.78785810564997,0.169580331654052,31.7981356013388,0,0.1103635,0.0770404,1,ok
1,Base,None,1,4,948,RA-ALA,1012,10.9313609298401,8.97921933541251,96.5865526201693,0.56039946180727,0.00264547323116751,0,1,210.1062191,0.8343872,0,ok
1,Base,None,1,4,948,Energy-A*,1023,24.0285396755842,8.11719732339624,91.0482640523603,0,0.00418925317058193,0.151107142867125,0,15.0017779,0.055112,1,ok
1,Base,None,1,4,948,Informed-RRT*,1034,43.023313441915,19.1814567777571,153.021363786084,3.12862709100389,0.0112074556145535,0.161973498944539,0,15.0819432,0.0837182,1,ok
1,Base,None,1,4,948,ST-EA*,1045,13.4536070337272,11.7463889873837,92.9365036966795,0.454952557844741,0.00228420665150018,0,1,2.027196,NaN,0,ok
1,Base,None,1,4,948,Greedy,1056,1964.11031107229,84.2653519525091,343.809684746618,9.05936586639536,0.995557950269208,18.4890556717808,0,0.1199619,0.08657,1,ok
1,Base,None,1,5,1041,RA-ALA,1105,12.5052171114718,9.4083593353988,95.7665035660175,1.14940178984476,0,0,1,262.0222115,0.6453757,0,ok
1,Base,None,1,5,1041,Energy-A*,1116,326.947438631726,9.22050665173476,84.4196363215675,0.441646631261612,0.000454171750552154,3.16135600030616,0,15.0704164,0.0582653,1,ok
1,Base,None,1,5,1041,Informed-RRT*,1127,216.387427191812,6.81273540827646,69.3828678263447,0,0,2.08996501218316,0,15.0083963,0.0524511,1,ok
1,Base,None,1,5,1041,ST-EA*,1138,NaN,NaN,NaN,NaN,NaN,NaN,0,15.0084536,NaN,0,failed: WeightSensitivity:EmptySTPath
1,Base,None,1,5,1041,Greedy,1149,4050.79120984772,47.7124549074291,201.339193623177,6.08870637728634,0.289456287744071,39.8632895269475,0,0.1111316,0.0777973,1,ok
1,Base,None,1,6,1103,RA-ALA,1167,7.05085178826035,5.90269331588075,58.7603409963748,0.286105346371748,0.00862782713329787,0,1,215.0393367,0.5634766,0,ok
1,Base,None,1,6,1103,Energy-A*,1178,62.4774299296776,5.93385287764569,55.6772671405548,0,0.00811680597028711,0.559984317661578,0,15.00418,0.0529542,1,ok
1,Base,None,1,6,1103,Informed-RRT*,1189,62.4774299296776,5.93385287764569,55.6772671405548,0,0.00811680597028711,0.559984317661578,0,15.0160866,0.0528908,1,ok
1,Base,None,1,6,1103,ST-EA*,1200,9.15067694141527,7.72377541334994,63.8900232926744,0.44152631500133,0.00114320372903833,0,1,1.3182405,NaN,0,ok
1,Base,None,1,6,1103,Greedy,1211,12404.3605676054,73.3557602709893,398.980846558556,10.3755752802698,1.58546569199948,122.910741594659,0,0.3601363,0.238341,1,ok
1,Base,None,1,7,1227,RA-ALA,1291,15.7966813033688,11.2854015419929,104.997338181976,1.81049576642022,0.00153104103522934,0,1,207.0491558,0.6108135,0,ok
1,Base,None,1,7,1227,Energy-A*,1302,12.1233890860294,10.3032629189982,111.436477894095,0.445744425623543,0,0,1,4.195197,0.064837,1,ok
1,Base,None,1,7,1227,Informed-RRT*,1313,66.623670163483,11.2929875310122,125.36135568022,0.934113874906086,0.106642556730551,0.513513513513514,0,15.079919,0.0770754,1,ok
1,Base,None,1,7,1227,ST-EA*,1324,11.3935111413448,9.66921226716914,99.9372027514302,0.445744425623543,0,0,1,9.0654966,NaN,0,ok
1,Base,None,1,7,1227,Greedy,1335,2642.88389800723,91.2665909277939,322.980945528682,8.65290985223017,1.1780839634881,25.1983913986069,0,0.1200925,0.0855351,1,ok
1,Base,None,1,8,1475,RA-ALA,1539,7.6568105357582,6.53816576068857,63.5748014871681,0.294427381338279,0,0,1,207.2454764,0.5875578,0,ok
1,Base,None,1,8,1475,Energy-A*,1550,10.5319785047296,8.9848335450685,79.9761556593677,0.440338497916537,0,0,1,3.5854642,0.0683175,1,ok
1,Base,None,1,8,1475,Informed-RRT*,1561,9.63667708777805,7.23797750765228,65.51020517092,0.926389116086667,2.97152810840509e-07,0,1,15.0902857,0.0599578,1,ok
1,Base,None,1,8,1475,ST-EA*,1572,8.33604935182957,6.90735351594626,60.0870773257495,0.463985095751033,0,0,1,2.8546348,NaN,0,ok
1,Base,None,1,8,1475,Greedy,1583,9284.10829985125,79.5436443089229,225.446828237379,16.4738525606885,0.157119404644307,91.6816703280586,0,0.1441942,0.1141762,1,ok
1,Base,None,1,9,2312,RA-ALA,2376,10.8568623219723,8.0339218724213,75.3664047251845,1.09374407570855,0.000739892542401339,0,1,225.7623661,0.5854843,0,ok
1,Base,None,1,9,2312,Energy-A*,2387,12.4447663164459,8.46304862906453,80.8136758756369,0.448785444702423,0.241069949901284,0,1,1.7741082,0.0592837,1,ok
1,Base,None,1,9,2312,Informed-RRT*,2398,125.067051778505,9.15157739687103,93.6021719146955,1.27683914702271,0.0454922808380126,1.1212685517992,0,15.0673637,0.062731,1,ok
1,Base,None,1,9,2312,ST-EA*,2409,11.0575176493341,9.48035307267035,80.6106112124641,0.448785444702423,0.000783859382165446,0,1,7.5863431,NaN,0,ok
1,Base,None,1,9,2312,Greedy,2420,8274.11315066841,76.4699880573946,246.043175503947,13.6390420451458,0.289905173286125,81.6541566699199,0,0.1460916,0.1070616,1,ok
1,Base,None,1,10,2560,RA-ALA,2624,10.9225705760482,7.80898721587387,76.7961727878904,1.20517439351441,0.00632664665797559,0,1,209.9144006,0.86505,0,ok
1,Base,None,1,10,2560,Energy-A*,2635,27.4538565399466,8.49204585676245,77.9382152958599,0.464147717544105,0.0709719422814027,0.166743106978164,0,3.5993322,0.0572766,1,ok
1,Base,None,1,10,2560,Informed-RRT*,2646,25.2915147875278,9.13222638800016,91.3086833948442,1.00690696306578,0.0176684138044616,0.132078846403944,0,15.0770378,0.0624646,1,ok
1,Base,None,1,10,2560,ST-EA*,2657,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0287089,NaN,0,failed: WeightSensitivity:EmptySTPath
1,Base,None,1,10,2560,Greedy,2668,2137.23226614169,55.7361204853682,205.004303151231,7.94556717861246,0.175074911746939,20.621458929887,0,0.1294068,0.0947049,1,ok
2,Energy 0.5x,Energy,0.5,1,483,RA-ALA,547,10.7070441075245,10.3664035346107,99.8671891310238,1.04076108803035,0.261009358806656,0,1,253.0798686,1.0117262,0,ok
2,Energy 0.5x,Energy,0.5,1,483,Energy-A*,558,14.2392992996244,14.0268246878676,100.851736712908,0.445377793962028,0.54947002284923,0,1,1.9022361,0.0599265,1,ok
2,Energy 0.5x,Energy,0.5,1,483,Informed-RRT*,569,291.117397563164,13.7728347140951,106.889570492101,2.17720771886109,0.186454374309645,2.77121274604531,0,15.075465,0.0723448,1,ok
2,Energy 0.5x,Energy,0.5,1,483,ST-EA*,580,NaN,NaN,NaN,NaN,NaN,NaN,0,15.0094374,NaN,0,failed: WeightSensitivity:EmptySTPath
2,Energy 0.5x,Energy,0.5,1,483,Greedy,591,3392.58114962645,45.6144575936359,176.42408284087,7.93932212139834,0.554166886235424,33.4688340703414,0,0.1238384,0.0868502,1,ok
